isic_id,CI_name
ISIC_3303974,CI_14453807
ISIC_3321936,CI_09501106
ISIC_3331737,CI_11430118
ISIC_3335505,CI_15043163
ISIC_3339253,CI_10022702
ISIC_3341159,CI_11333462
ISIC_3347291,CI_17082926
ISIC_3356154,CI_10445104
ISIC_3360646,CI_11345341
ISIC_3363819,CI_10224701
ISIC_3378080,CI_12363013
ISIC_3389695,CI_15120599
ISIC_3393031,CI_09172438
ISIC_3401800,CI_15344365
ISIC_3406437,CI_13495055
ISIC_3421846,CI_11411667
ISIC_3429725,CI_12013396
ISIC_3429759,CI_11330793
ISIC_3444126,CI_14402046
ISIC_3458204,CI_11410785
ISIC_3466430,CI_10061870
ISIC_3471297,CI_15252203
ISIC_3478473,CI_09462681
ISIC_3487175,CI_10243919
ISIC_3488179,CI_13224293
ISIC_3493343,CI_16491019
ISIC_3506656,CI_15501062
ISIC_3519679,CI_16092019
ISIC_3557527,CI_15390453
ISIC_3577187,CI_09493262
ISIC_3579423,CI_15380701
ISIC_3619504,CI_09373231
ISIC_3621643,CI_13320070
ISIC_3626576,CI_11391196
ISIC_3630349,CI_10210132
ISIC_3632567,CI_10433296
ISIC_3642877,CI_11280899
ISIC_3666865,CI_11434602
ISIC_3673376,CI_09163113
ISIC_3690890,CI_11122804
ISIC_3691992,CI_09381924
ISIC_3711801,CI_16045337
ISIC_3714766,CI_15045472
ISIC_3718172,CI_15354776
ISIC_3731755,CI_10411078
ISIC_3750329,CI_14104950
ISIC_3751090,CI_11005148
ISIC_3757004,CI_16055171
ISIC_3758049,CI_10521590
ISIC_3758803,CI_11555200
ISIC_3763984,CI_09570418
ISIC_3771248,CI_10305055
ISIC_3811339,CI_11304139
ISIC_3825167,CI_10360173
ISIC_3842916,CI_09492771
ISIC_3846854,CI_09392632
ISIC_3848912,CI_11420278
ISIC_3850265,CI_15322026
ISIC_3860402,CI_16160586
ISIC_3862113,CI_09555517
ISIC_3871225,CI_09482000
ISIC_3877564,CI_13222657
ISIC_3882211,CI_10433915
ISIC_3897960,CI_13331136
ISIC_3900977,CI_16425390
ISIC_3903680,CI_15063339
ISIC_3905170,CI_16011550
ISIC_3909215,CI_17043520
ISIC_3924603,CI_14124811
ISIC_3934294,CI_07433232
ISIC_3943279,CI_10105508
ISIC_3956421,CI_10170118
ISIC_3961887,CI_16085573
ISIC_3962990,CI_14372476
ISIC_3977025,CI_09025750
ISIC_3980802,CI_10115802
ISIC_4010917,CI_08315687
ISIC_4011833,CI_09411109
ISIC_4019372,CI_14124151
ISIC_4066892,CI_11364493
ISIC_4092548,CI_14590796
ISIC_4093917,CI_15190922
ISIC_4106190,CI_08074014
ISIC_4106362,CI_11000686
ISIC_4117448,CI_16233966
ISIC_4126405,CI_13172881
ISIC_4130156,CI_14193539
ISIC_4134230,CI_10005373
ISIC_4143480,CI_10503375
ISIC_4160844,CI_16213689
ISIC_4163590,CI_08392471
ISIC_4173993,CI_13175191
ISIC_4174867,CI_10311502
ISIC_4177450,CI_13163014
ISIC_4187627,CI_11083327
ISIC_4196059,CI_10222201
ISIC_4197990,CI_10301839
ISIC_4207959,CI_11215821
ISIC_4212284,CI_12005227
ISIC_4212546,CI_10195790
ISIC_4223923,CI_15474226
ISIC_4240225,CI_11352791
ISIC_4247737,CI_10304892
ISIC_4271042,CI_10391583
ISIC_4276647,CI_11470632
ISIC_4279516,CI_11483822
ISIC_4281336,CI_08145544
ISIC_4281796,CI_10195775
ISIC_4288535,CI_09514247
ISIC_4292480,CI_10380160
ISIC_4292710,CI_11022485
ISIC_4308751,CI_14520231
ISIC_4310717,CI_13255046
ISIC_4312375,CI_09272634
ISIC_4320764,CI_10120224
ISIC_4328860,CI_11271656
ISIC_4330588,CI_14233627
ISIC_4338709,CI_08401019
ISIC_4341651,CI_07545010
ISIC_4347535,CI_14435450
ISIC_4353888,CI_14540867
ISIC_4384072,CI_09482912
ISIC_4393640,CI_11532213
ISIC_4407580,CI_15352306
ISIC_4411089,CI_16280930
ISIC_4439689,CI_13504391
ISIC_4448486,CI_10570554
ISIC_4459528,CI_15084849
ISIC_4464310,CI_14244730
ISIC_4464389,CI_09421200
ISIC_4477663,CI_14503821
ISIC_4480128,CI_12243193
ISIC_4492754,CI_11322514
ISIC_4506056,CI_14480169
ISIC_4510530,CI_09371155
ISIC_4522439,CI_11015359
ISIC_4524099,CI_11064598
